a	A | A
bed	BED | 3E5
beds	BED/-SS | 3E5/-1
bell	BEL | 3E4
bells	BEL/-SS | 3E4/-1
bellied	BEL/-D | 3E4/-5
bellied	BEL/-Y/-D | 3E4/-3/-5
bellies	BEL/-Y/-SS | 3E4/-3/-1
bellyings	BEL/-NG/-SS | 3E4/-2/-1
bellyings	BEL/-Y/-NG/-SS | 3E4/-3/-2/-1
belly	BEL/-Y | 3E4/-3
belonged	B/LONG/-D | 3/5O2/-5
belongings	B/LONG/-NG/-SS | 3/5O2/-2/-1
belonging	B/LONG/-NG | 3/5O2/-2
belongs	B/LONG/-SS | 3/5O2/-1
belong	B/LONG | 3/5O2
beltane	BEL/-T/-N | 3E4/-7/-6
belted	BEL/-T/-D | 3E4/-7/-5
beltings	BEL/-T/-NG/-SS | 3E4/-7/-2/-1
belting	BEL/-T/-NG | 3E4/-7/-2
belt	BEL/-T | 3E4/-7
belts	BEL/-T/-SS | 3E4/-7/-1
bended	BEN/-D/-D | 3E6/-5/-5
bendingly	BEN/-D/-NG/-L/-Y | 3E6/-5/-2/-4/-3
bending	BEN/-D/-NG | 3E6/-5/-2
bend	BEN/-D | 3E6/-5
bends	BEN/-D/-SS | 3E6/-5/-1
bendy	BEN/-D/-Y | 3E6/-5/-3
ben	BEN | 3E6
bents	BEN/-T/-SS | 3E6/-7/-1
bent	BEN/-T | 3E6/-7
bern	BER/-N | 3E8/-6
berries	BER/-Y/-SS | 3E8/-3/-1
berry	BER/-Y | 3E8/-3
bet	BET | 3E7
betony	BET/-N/-Y | 3E7/-6/-3
bets	BET/-SS | 3E7/-1
betted	BET/-D | 3E7/-5
better	BET/-R | 3E7/-8
bettered	BET/-R/-D | 3E7/-8/-5
bettering	BET/-R/-NG | 3E7/-8/-2
betters	BET/-R/-SS | 3E7/-8/-1
betting	BET/-NG | 3E7/-2
bipartite	B/PAR/-T/-T | 3/4A8/-7/-7
bladdered	B/LAD/-R/-D | 3/5A5/-8/-5
bladder	B/LAD/-R | 3/5A5/-8
bladders	B/LAD/-R/-SS | 3/5A5/-8/-1
bladdery	B/LAD/-R/-Y | 3/5A5/-8/-3
bland	B/LAN/-D | 3/5A6/-5
blandly	B/LAN/-D/-L/-Y | 3/5A6/-5/-4/-3
blarneying	B/LAR/-N/-NG | 3/5A8/-6/-2
blarneying	B/LAR/-N/-Y/-NG | 3/5A8/-6/-3/-2
blarney	B/LAR/-N/-Y | 3/5A8/-6/-3
bled	B/LED | 3/5E5
blended	B/LEN/-D/-D | 3/5E6/-5/-5
blendings	B/LEN/-D/-NG/-SS | 3/5E6/-5/-2/-1
blending	B/LEN/-D/-NG | 3/5E6/-5/-2
blend	B/LEN/-D | 3/5E6/-5
blends	B/LEN/-D/-SS | 3/5E6/-5/-1
blent	B/LEN/-T | 3/5E6/-7
blonde	B/LON/-D | 3/5O6/-5
blondes	B/LON/-D/-SS | 3/5O6/-5/-1
blot	B/LOT | 3/5O7
blots	B/LOT/-SS | 3/5O7/-1
