a	A | A
lantern	LAN/-T/-R/-N | 5A6/-7/-8/-6
lanterns	LAN/-T/-R/-N/-SS | 5A6/-7/-8/-6/-1
lapelled	L/PEL/-D | 5/4E4/-5
lapel	L/PEL | 5/4E4
lapels	L/PEL/-SS | 5/4E4/-1
larder	LAR/-D/-R | 5A8/-5/-8
larders	LAR/-D/-R/-SS | 5A8/-5/-8/-1
lard	LAR/-D | 5A8/-5
lards	LAR/-D/-SS | 5A8/-5/-1
lateral	LAT/-R/-L | 5A7/-8/-4
laterally	LAT/-R/-L/-Y | 5A7/-8/-4/-3
laterals	LAT/-R/-L/-SS | 5A7/-8/-4/-1
laterite	LAT/-R/-T | 5A7/-8/-7
latter	LAT/-R | 5A7/-8
latters	LAT/-R/-SS | 5A7/-8/-1
lead	LED | 5E5
leaded	LED/-D | 5E5/-5
leading	LED/-NG | 5E5/-2
leads	LED/-SS | 5E5/-1
leant	LEN/-T | 5E6/-7
lending	LEN/-D/-NG | 5E6/-5/-2
lendings	LEN/-D/-NG/-SS | 5E6/-5/-2/-1
lends	LEN/-D/-SS | 5E6/-5/-1
lend	LEN/-D | 5E6/-5
len	LEN | 5E6
lentil	LEN/-T/-L | 5E6/-7/-4
lentils	LEN/-T/-L/-SS | 5E6/-7/-4/-1
lents	LEN/-T/-SS | 5E6/-7/-1
lets	LET/-SS | 5E7/-1
lettered	LET/-R/-D | 5E7/-8/-5
lettering	LET/-R/-NG | 5E7/-8/-2
letter	LET/-R | 5E7/-8
letters	LET/-R/-SS | 5E7/-8/-1
lettings	LET/-NG/-SS | 5E7/-2/-1
letting	LET/-NG | 5E7/-2
let	LET | 5E7
librettist	L/B/RET/-SS/-T | 5/3/1E7/-1/-7
librettists	L/B/RET/-SS/-T/-SS | 5/3/1E7/-1/-7/-1
librettos	L/B/RET/-SS | 5/3/1E7/-1
locale	L/KAL | 5/2A4
locales	L/KAL/-SS | 5/2A4/-1
locality	L/KAL/-T | 5/2A4/-7
lolled	LOL/-D | 5O4/-5
lollies	LOL/-Y/-SS | 5O4/-3/-1
lolling	LOL/-NG | 5O4/-2
lolls	LOL/-SS | 5O4/-1
loll	LOL | 5O4
lolly	LOL/-Y | 5O4/-3
longed	LONG/-D | 5O2/-5
longingly	LONG/-NG/-L/-Y | 5O2/-2/-4/-3
longing	LONG/-NG | 5O2/-2
longings	LONG/-NG/-SS | 5O2/-2/-1
long	LONG | 5O2
longs	LONG/-SS | 5O2/-1
lorded	LOR/-D/-D | 5O8/-5/-5
lording	LOR/-D/-NG | 5O8/-5/-2
lordly	LOR/-D/-L/-Y | 5O8/-5/-4/-3
lord	LOR/-D | 5O8/-5
lords	LOR/-D/-SS | 5O8/-5/-1
lore	LOR | 5O8
lores	LOR/-SS | 5O8/-1
lorn	LOR/-N | 5O8/-6
lorries	LOR/-Y/-SS | 5O8/-3/-1
lorry	LOR/-Y | 5O8/-3
lot	LOT | 5O7
lots	LOT/-SS | 5O7/-1
lotteries	LOT/-R/-Y/-SS | 5O7/-8/-3/-1
lottery	LOT/-R/-Y | 5O7/-8/-3
lulled	LUL/-D | 5U4/-5
lulling	LUL/-NG | 5U4/-2
lull	LUL | 5U4
lulls	LUL/-SS | 5U4/-1
lung	LUNG | 5U2
lungs	LUNG/-SS | 5U2/-1
oddity	OD/-T | O5/-7
odd	OD | O5
oddly	OD/-L/-Y | O5/-4/-3
odds	OD/-SS | O5/-1
on	ON | O6
onsen	ON/-SS/-N | O6/-1/-6
or	OR | O8
oral	OR/-L | O8/-4
orally	OR/-L/-Y | O8/-4/-3
ordered	OR/-D/-R/-D | O8/-5/-8/-5
orderings	OR/-D/-R/-NG/-SS | O8/-5/-8/-2/-1
ordering	OR/-D/-R/-NG | O8/-5/-8/-2
orderlies	OR/-D/-R/-L/-Y/-SS | O8/-5/-8/-4/-3/-1
orderly	OR/-D/-R/-L/-Y | O8/-5/-8/-4/-3
order	OR/-D/-R | O8/-5/-8
orders	OR/-D/-R/-SS | O8/-5/-8/-1
ordinal	OR/-D/-N/-L | O8/-5/-6/-4
ordinate	OR/-D/-N/-T | O8/-5/-6/-7
ordinates	OR/-D/-N/-T/-SS | O8/-5/-6/-7/-1
ores	OR/-SS | O8/-1
ornery	OR/-N/-R/-Y | O8/-6/-8/-3
otter	OT/-R | O7/-8
otters	OT/-R/-SS | O7/-8/-1
padded	PAD/-D | 4A5/-5
paddies	PAD/-Y/-SS | 4A5/-3/-1
padding	PAD/-NG | 4A5/-2
paddled	PAD/-L/-D | 4A5/-4/-5
paddle	PAD/-L | 4A5/-4
paddles	PAD/-L/-SS | 4A5/-4/-1
paddling	PAD/-L/-NG | 4A5/-4/-2
paddy	PAD/-Y | 4A5/-3
pad	PAD | 4A5
padres	PAD/-R/-SS | 4A5/-8/-1
pads	PAD/-SS | 4A5/-1
paladin	PAL/-D/-N | 4A4/-5/-6
paladins	PAL/-D/-N/-SS | 4A4/-5/-6/-1
palatal	PAL/-T/-L | 4A4/-7/-4
palatals	PAL/-T/-L/-SS | 4A4/-7/-4/-1
palate	PAL/-T | 4A4/-7
palates	PAL/-T/-SS | 4A4/-7/-1
pallid	PAL/-D | 4A4/-5
pallidly	PAL/-D/-L/-Y | 4A4/-5/-4/-3
pallor	PAL/-R | 4A4/-8
pallors	PAL/-R/-SS | 4A4/-8/-1
pally	PAL/-Y | 4A4/-3
pal	PAL | 4A4
pals	PAL/-SS | 4A4/-1
pandas	PAN/-D/-SS | 4A6/-5/-1
pandered	PAN/-D/-R/-D | 4A6/-5/-8/-5
pandering	PAN/-D/-R/-NG | 4A6/-5/-8/-2
panders	PAN/-D/-R/-SS | 4A6/-5/-8/-1
pander	PAN/-D/-R | 4A6/-5/-8
paneled	PAN/-L/-D | 4A6/-4/-5
paneling	PAN/-L/-NG | 4A6/-4/-2
panellings	PAN/-L/-NG/-SS | 4A6/-4/-2/-1
panel	PAN/-L | 4A6/-4
panels	PAN/-L/-SS | 4A6/-4/-1
pang	PANG | 4A2
pangs	PANG/-SS | 4A2/-1
panned	PAN/-D | 4A6/-5
panning	PAN/-NG | 4A6/-2
pan	PAN | 4A6
pa	PA | 4A
pans	PAN/-SS | 4A6/-1
panted	PAN/-T/-D | 4A6/-7/-5
panties	PAN/-T/-Y/-SS | 4A6/-7/-3/-1
pantingly	PAN/-T/-NG/-L/-Y | 4A6/-7/-2/-4/-3
pantings	PAN/-T/-NG/-SS | 4A6/-7/-2/-1
panting	PAN/-T/-NG | 4A6/-7/-2
pant	PAN/-T | 4A6/-7
pants	PAN/-T/-SS | 4A6/-7/-1
pantries	PAN/-T/-R/-Y/-SS | 4A6/-7/-8/-3/-1
pantry	PAN/-T/-R/-Y | 4A6/-7/-8/-3
panty	PAN/-T/-Y | 4A6/-7/-3
paradises	PAR/-D/-SS/-SS | 4A8/-5/-1/-1
paralleled	PAR/-L/-L/-D | 4A8/-4/-4/-5
parallel	PAR/-L/-L | 4A8/-4/-4
parallels	PAR/-L/-L/-SS | 4A8/-4/-4/-1
paralysis	P/RAL/-SS/-SS | 4/1A4/-1/-1
parasite	PAR/-SS/-T | 4A8/-1/-7
parasites	PAR/-SS/-T/-SS | 4A8/-1/-7/-1
pars	PAR/-SS | 4A8/-1
parasol	PAR/-SS/-L | 4A8/-1/-4
parasols	PAR/-SS/-L/-SS | 4A8/-1/-4/-1
parental	P/REN/-T/-L | 4/1E6/-7/-4
parentis	P/REN/-T/-SS | 4/1E6/-7/-1
parties	PAR/-T/-Y/-SS | 4A8/-7/-3/-1
parti	PAR/-T/-Y | 4A8/-7/-3
parleyed	PAR/-L/-D | 4A8/-4/-5
parleyed	PAR/-L/-Y/-D | 4A8/-4/-3/-5
parleying	PAR/-L/-NG | 4A8/-4/-2
parleying	PAR/-L/-Y/-NG | 4A8/-4/-3/-2
parley	PAR/-L/-Y | 4A8/-4/-3
parlous	PAR/-L/-SS | 4A8/-4/-1
parleys	PAR/-L/-Y/-SS | 4A8/-4/-3/-1
parlor	PAR/-L/-R | 4A8/-4/-8
parlors	PAR/-L/-R/-SS | 4A8/-4/-8/-1
par	PAR | 4A8
parodied	PAR/-D/-D | 4A8/-5/-5
parodied	PAR/-D/-Y/-D | 4A8/-5/-3/-5
parodies	PAR/-D/-Y/-SS | 4A8/-5/-3/-1
parodist	PAR/-D/-SS/-T | 4A8/-5/-1/-7
parodists	PAR/-D/-SS/-T/-SS | 4A8/-5/-1/-7/-1
parodying	PAR/-D/-NG | 4A8/-5/-2
parodying	PAR/-D/-Y/-NG | 4A8/-5/-3/-2
parody	PAR/-D/-Y | 4A8/-5/-3
parral	PAR/-L | 4A8/-4
parried	PAR/-D | 4A8/-5
parried	PAR/-Y/-D | 4A8/-3/-5
parries	PAR/-Y/-SS | 4A8/-3/-1
parted	PAR/-T/-D | 4A8/-7/-5
parting	PAR/-T/-NG | 4A8/-7/-2
part	PAR/-T | 4A8/-7
parts	PAR/-T/-SS | 4A8/-7/-1
parrying	PAR/-NG | 4A8/-2
parrying	PAR/-Y/-NG | 4A8/-3/-2
parry	PAR/-Y | 4A8/-3
parsley	PAR/-SS/-L/-Y | 4A8/-1/-4/-3
partied	PAR/-T/-Y/-D | 4A8/-7/-3/-5
partings	PAR/-T/-NG/-SS | 4A8/-7/-2/-1
partly	PAR/-T/-L/-Y | 4A8/-7/-4/-3
partnered	PAR/-T/-N/-R/-D | 4A8/-7/-6/-8/-5
partnering	PAR/-T/-N/-R/-NG | 4A8/-7/-6/-8/-2
partner	PAR/-T/-N/-R | 4A8/-7/-6/-8
partners	PAR/-T/-N/-R/-SS | 4A8/-7/-6/-8/-1
partying	PAR/-T/-Y/-NG | 4A8/-7/-3/-2
patellas	P/TEL/-SS | 4/8E4/-1
patented	PAT/-N/-T/-D | 4A7/-6/-7/-5
patenting	PAT/-N/-T/-NG | 4A7/-6/-7/-2
patently	PAT/-N/-T/-L/-Y | 4A7/-6/-7/-4/-3
patent	PAT/-N/-T | 4A7/-6/-7
patents	PAT/-N/-T/-SS | 4A7/-6/-7/-1
paternal	P/TER/-N/-L | 4/8E8/-6/-4
paternally	P/TER/-N/-L/-Y | 4/8E8/-6/-4/-3
paternity	P/TER/-N/-T/-Y | 4/8E8/-6/-7/-3
patsies	PAT/-SS/-Y/-SS | 4A7/-1/-3/-1
pats	PAT/-SS | 4A7/-1
patsy	PAT/-SS/-Y | 4A7/-1/-3
patted	PAT/-D | 4A7/-5
pattered	PAT/-R/-D | 4A7/-8/-5
patterings	PAT/-R/-NG/-SS | 4A7/-8/-2/-1
pattering	PAT/-R/-NG | 4A7/-8/-2
patterned	PAT/-R/-N/-D | 4A7/-8/-6/-5
patterning	PAT/-R/-N/-NG | 4A7/-8/-6/-2
pattern	PAT/-R/-N | 4A7/-8/-6
patter	PAT/-R | 4A7/-8
patterns	PAT/-R/-N/-SS | 4A7/-8/-6/-1
patters	PAT/-R/-SS | 4A7/-8/-1
patties	PAT/-Y/-SS | 4A7/-3/-1
patting	PAT/-NG | 4A7/-2
patty	PAT/-Y | 4A7/-3
pat	PAT | 4A7
pecan	P/KAN | 4/2A6
pecans	P/KAN/-SS | 4/2A6/-1
pedaled	PED/-L/-D | 4E5/-4/-5
pedaling	PED/-L/-NG | 4E5/-4/-2
pedal	PED/-L | 4E5/-4
pedals	PED/-L/-SS | 4E5/-4/-1
pedant	PED/-N/-T | 4E5/-6/-7
pedants	PED/-N/-T/-SS | 4E5/-6/-7/-1
pedestalled	PED/-SS/-T/-L/-D | 4E5/-1/-7/-4/-5
pedestal	PED/-SS/-T/-L | 4E5/-1/-7/-4
pedestals	PED/-SS/-T/-L/-SS | 4E5/-1/-7/-4/-1
pedlar	PED/-L/-R | 4E5/-4/-8
pedlars	PED/-L/-R/-SS | 4E5/-4/-8/-1
pelting	PEL/-T/-NG | 4E4/-7/-2
pelt	PEL/-T | 4E4/-7
pelts	PEL/-T/-SS | 4E4/-7/-1
pelted	PEL/-T/-D | 4E4/-7/-5
peltingly	PEL/-T/-NG/-L/-Y | 4E4/-7/-2/-4/-3
peltry	PEL/-T/-R/-Y | 4E4/-7/-8/-3
penalties	PEN/-L/-T/-Y/-SS | 4E6/-4/-7/-3/-1
penalty	PEN/-L/-T/-Y | 4E6/-4/-7/-3
pendant	PEN/-D/-N/-T | 4E6/-5/-6/-7
pendants	PEN/-D/-N/-T/-SS | 4E6/-5/-6/-7/-1
pended	PEN/-D/-D | 4E6/-5/-5
pending	PEN/-D/-NG | 4E6/-5/-2
pendular	PEN/-D/-L/-R | 4E6/-5/-4/-8
pendulous	PEN/-D/-L/-SS | 4E6/-5/-4/-1
pendulously	PEN/-D/-L/-SS/-L/-Y | 4E6/-5/-4/-1/-4/-3
pend	PEN/-D | 4E6/-5
penetrant	PEN/-T/-R/-N/-T | 4E6/-7/-8/-6/-7
penetrates	PEN/-T/-R/-T/-SS | 4E6/-7/-8/-7/-1
penetrate	PEN/-T/-R/-T | 4E6/-7/-8/-7
penitent	PEN/-T/-N/-T | 4E6/-7/-6/-7
penitently	PEN/-T/-N/-T/-L/-Y | 4E6/-7/-6/-7/-4/-3
penitents	PEN/-T/-N/-T/-SS | 4E6/-7/-6/-7/-1
pennant	PEN/-N/-T | 4E6/-6/-7
pennants	PEN/-N/-T/-SS | 4E6/-6/-7/-1
pennies	PEN/-Y/-SS | 4E6/-3/-1
penning	PEN/-NG | 4E6/-2
pen	PEN | 4E6
penny	PEN/-Y | 4E6/-3
pens	PEN/-SS | 4E6/-1
pentane	PEN/-T/-N | 4E6/-7/-6
pent	PEN/-T | 4E6/-7
penury	PEN/-R/-Y | 4E6/-8/-3
percental	P/R/SEN/-T/-L | 4/1/7E6/-7/-4
percent	P/R/SEN/-T | 4/1/7E6/-7
percents	P/R/SEN/-T/-SS | 4/1/7E6/-7/-1
perennial	P/REN/-L | 4/1E6/-4
perennially	P/REN/-L/-Y | 4/1E6/-4/-3
perennials	P/REN/-L/-SS | 4/1E6/-4/-1
perilling	PER/-L/-NG | 4E8/-4/-2
peril	PER/-L | 4E8/-4
perils	PER/-L/-SS | 4E8/-4/-1
per	PER | 4E8
peri	PER/-Y | 4E8/-3
perlite	PER/-L/-T | 4E8/-4/-7
perpetual	P/R/PET/-L | 4/1/4E7/-4
perpetually	P/R/PET/-L/-Y | 4/1/4E7/-4/-3
pertinent	PER/-T/-N/-N/-T | 4E8/-7/-6/-6/-7
pertinently	PER/-T/-N/-N/-T/-L/-Y | 4E8/-7/-6/-6/-7/-4/-3
pert	PER/-T | 4E8/-7
pertly	PER/-T/-L/-Y | 4E8/-7/-4/-3
petaled	PET/-L/-D | 4E7/-4/-5
petal	PET/-L | 4E7/-4
petals	PET/-L/-SS | 4E7/-4/-1
petard	P/TAR/-D | 4/8A8/-5
petards	P/TAR/-D/-SS | 4/8A8/-5/-1
pet	PET | 4E7
petrel	PET/-R/-L | 4E7/-8/-4
petrels	PET/-R/-L/-SS | 4E7/-8/-4/-1
petrous	PET/-R/-SS | 4E7/-8/-1
pets	PET/-SS | 4E7/-1
petted	PET/-D | 4E7/-5
pettily	PET/-L/-Y | 4E7/-4/-3
petting	PET/-NG | 4E7/-2
petty	PET/-Y | 4E7/-3
petulant	PET/-L/-N/-T | 4E7/-4/-6/-7
petulantly	PET/-L/-N/-T/-L/-Y | 4E7/-4/-6/-7/-4/-3
pictorial	P/K/TOR/-L | 4/2/8O8/-4
pictorially	P/K/TOR/-L/-Y | 4/2/8O8/-4/-3
pictorials	P/K/TOR/-L/-SS | 4/2/8O8/-4/-1
pipette	P/PET | 4/4E7
pipettes	P/PET/-SS | 4/4E7/-1
placental	P/L/SEN/-T/-L | 4/5/7E6/-7/-4
placentas	P/L/SEN/-T/-SS | 4/5/7E6/-7/-1
plaid	P/LAD | 4/5A5
plaids	P/LAD/-SS | 4/5A5/-1
plant	P/LAN/-T | 4/5A6/-7
plants	P/LAN/-T/-SS | 4/5A6/-7/-1
planned	P/LAN/-D | 4/5A6/-5
planning	P/LAN/-NG | 4/5A6/-2
plannings	P/LAN/-NG/-SS | 4/5A6/-2/-1
plan	P/LAN | 4/5A6
plans	P/LAN/-SS | 4/5A6/-1
plantain	P/LAN/-T/-N | 4/5A6/-7/-6
plantains	P/LAN/-T/-N/-SS | 4/5A6/-7/-6/-1
planted	P/LAN/-T/-D | 4/5A6/-7/-5
plantings	P/LAN/-T/-NG/-SS | 4/5A6/-7/-2/-1
planting	P/LAN/-T/-NG | 4/5A6/-7/-2
plat	P/LAT | 4/5A7
platies	P/LAT/-Y/-SS | 4/5A7/-3/-1
platter	P/LAT/-R | 4/5A7/-8
platters	P/LAT/-R/-SS | 4/5A7/-8/-1
platy	P/LAT/-Y | 4/5A7/-3
plenty	P/LEN/-T/-Y | 4/5E6/-7/-3
plodded	P/LOD/-D | 4/5O5/-5
ploddingly	P/LOD/-NG/-L/-Y | 4/5O5/-2/-4/-3
plodding	P/LOD/-NG | 4/5O5/-2
plods	P/LOD/-SS | 4/5O5/-1
plod	P/LOD | 4/5O5
plot	P/LOT | 4/5O7
plots	P/LOT/-SS | 4/5O7/-1
plotted	P/LOT/-D | 4/5O7/-5
plottings	P/LOT/-NG/-SS | 4/5O7/-2/-1
plotting	P/LOT/-NG | 4/5O7/-2
plundered	P/LUN/-D/-R/-D | 4/5U6/-5/-8/-5
plundering	P/LUN/-D/-R/-NG | 4/5U6/-5/-8/-2
plunderings	P/LUN/-D/-R/-NG/-SS | 4/5U6/-5/-8/-2/-1
plunder	P/LUN/-D/-R | 4/5U6/-5/-8
plunders	P/LUN/-D/-R/-SS | 4/5U6/-5/-8/-1
plurality	P/L/RAL/-T | 4/5/1A4/-7
pod	POD | 4O5
pods	POD/-SS | 4O5/-1
polity	POL/-T/-Y | 4O4/-7/-3
pollard	POL/-R/-D | 4O4/-8/-5
pollarded	POL/-R/-D/-D | 4O4/-8/-5/-5
pollards	POL/-R/-D/-SS | 4O4/-8/-5/-1
pollen	POL/-N | 4O4/-6
pollinates	POL/-N/-T/-SS | 4O4/-6/-7/-1
pollinate	POL/-N/-T | 4O4/-6/-7
poly	POL/-Y | 4O4/-3
polys	POL/-SS | 4O4/-1
polys	POL/-Y/-SS | 4O4/-3/-1
pondered	PON/-D/-R/-D | 4O6/-5/-8/-5
ponderingly	PON/-D/-R/-NG/-L/-Y | 4O6/-5/-8/-2/-4/-3
pondering	PON/-D/-R/-NG | 4O6/-5/-8/-2
ponders	PON/-D/-R/-SS | 4O6/-5/-8/-1
ponder	PON/-D/-R | 4O6/-5/-8
pond	PON/-D | 4O6/-5
ponds	PON/-D/-SS | 4O6/-5/-1
ponged	PONG/-D | 4O2/-5
ponging	PONG/-NG | 4O2/-2
pong	PONG | 4O2
pongs	PONG/-SS | 4O2/-1
pongy	PONG/-Y | 4O2/-3
pored	POR/-D | 4O8/-5
pore	POR | 4O8
pores	POR/-SS | 4O8/-1
poring	POR/-NG | 4O8/-2
porn	POR/-N | 4O8/-6
portal	POR/-T/-L | 4O8/-7/-4
portals	POR/-T/-L/-SS | 4O8/-7/-4/-1
ported	POR/-T/-D | 4O8/-7/-5
pretended	P/R/TEN/-D/-D | 4/1/8E6/-5/-5
pretending	P/R/TEN/-D/-NG | 4/1/8E6/-5/-2
pretends	P/R/TEN/-D/-SS | 4/1/8E6/-5/-1
pretend	P/R/TEN/-D | 4/1/8E6/-5
portent	POR/-T/-N/-T | 4O8/-7/-6/-7
portents	POR/-T/-N/-T/-SS | 4O8/-7/-6/-7/-1
portings	POR/-T/-NG/-SS | 4O8/-7/-2/-1
porting	POR/-T/-NG | 4O8/-7/-2
portly	POR/-T/-L/-Y | 4O8/-7/-4/-3
port	POR/-T | 4O8/-7
ports	POR/-T/-SS | 4O8/-7/-1
posterity	P/S/TER/-T/-Y | 4/7/8E8/-7/-3
pot	POT | 4O7
pots	POT/-SS | 4O7/-1
potted	POT/-D | 4O7/-5
potter	POT/-R | 4O7/-8
pottered	POT/-R/-D | 4O7/-8/-5
potteringly	POT/-R/-NG/-L/-Y | 4O7/-8/-2/-4/-3
pottering	POT/-R/-NG | 4O7/-8/-2
potters	POT/-R/-SS | 4O7/-8/-1
potties	POT/-Y/-SS | 4O7/-3/-1
potting	POT/-NG | 4O7/-2
potty	POT/-Y | 4O7/-3
praline	P/RAL/-N | 4/1A4/-6
pralines	P/RAL/-N/-SS | 4/1A4/-6/-1
prandial	P/RAN/-D/-L | 4/1A6/-5/-4
prat	P/RAT | 4/1A7
prats	P/RAT/-SS | 4/1A7/-1
prattled	P/RAT/-L/-D | 4/1A7/-4/-5
prattle	P/RAT/-L | 4/1A7/-4
prattles	P/RAT/-L/-SS | 4/1A7/-4/-1
prattlings	P/RAT/-L/-NG/-SS | 4/1A7/-4/-2/-1
prattling	P/RAT/-L/-NG | 4/1A7/-4/-2
precentor	P/R/SEN/-T/-R | 4/1/7E6/-7/-8
precursor	P/R/KUR/-SS/-R | 4/1/2U8/-1/-8
precursors	P/R/KUR/-SS/-R/-SS | 4/1/2U8/-1/-8/-1
precursory	P/R/KUR/-SS/-R/-Y | 4/1/2U8/-1/-8/-3
predator	P/RED/-T/-R | 4/1E5/-7/-8
predators	P/RED/-T/-R/-SS | 4/1E5/-7/-8/-1
prelate	P/REL/-T | 4/1E4/-7
prelates	P/REL/-T/-SS | 4/1E4/-7/-1
prelude	P/REL/-D | 4/1E4/-5
preludes	P/REL/-D/-SS | 4/1E4/-5/-1
preponderant	P/R/PON/-D/-R/-N/-T | 4/1/4O6/-5/-8/-6/-7
preponderantly	P/R/PON/-D/-R/-N/-T/-L/-Y | 4/1/4O6/-5/-8/-6/-7/-4/-3
preponderates	P/R/PON/-D/-R/-T/-SS | 4/1/4O6/-5/-8/-7/-1
preponderate	P/R/PON/-D/-R/-T | 4/1/4O6/-5/-8/-7
presented	P/R/SEN/-T/-D | 4/1/7E6/-7/-5
presenting	P/R/SEN/-T/-NG | 4/1/7E6/-7/-2
pretenses	P/R/TEN/-SS/-SS | 4/1/8E6/-1/-1
pretentious	P/R/TEN/-T/-SS | 4/1/8E6/-7/-1
pretentiously	P/R/TEN/-T/-SS/-L/-Y | 4/1/8E6/-7/-1/-4/-3
preterite	P/RET/-R/-T | 4/1E7/-8/-7
preterites	P/RET/-R/-T/-SS | 4/1E7/-8/-7/-1
prettied	P/RET/-D | 4/1E7/-5
prettied	P/RET/-Y/-D | 4/1E7/-3/-5
pretties	P/RET/-Y/-SS | 4/1E7/-3/-1
prettily	P/RET/-L/-Y | 4/1E7/-4/-3
prettying	P/RET/-NG | 4/1E7/-2
prettying	P/RET/-Y/-NG | 4/1E7/-3/-2
pretty	P/RET/-Y | 4/1E7/-3
prodded	P/ROD/-D | 4/1O5/-5
proddings	P/ROD/-NG/-SS | 4/1O5/-2/-1
prodding	P/ROD/-NG | 4/1O5/-2
prods	P/ROD/-SS | 4/1O5/-1
prod	P/ROD | 4/1O5
prolonged	P/R/LONG/-D | 4/1/5O2/-5
prolonging	P/R/LONG/-NG | 4/1/5O2/-2
prolongs	P/R/LONG/-SS | 4/1/5O2/-1
prolong	P/R/LONG | 4/1/5O2
pronged	P/RONG/-D | 4/1O2/-5
pronging	P/RONG/-NG | 4/1O2/-2
prong	P/RONG | 4/1O2
prongs	P/RONG/-SS | 4/1O2/-1
propelled	P/R/PEL/-D | 4/1/4E4/-5
propelling	P/R/PEL/-NG | 4/1/4E4/-2
propels	P/R/PEL/-SS | 4/1/4E4/-1
propel	P/R/PEL | 4/1/4E4
propensities	P/R/PEN/-SS/-T/-Y/-SS | 4/1/4E6/-1/-7/-3/-1
propensity	P/R/PEN/-SS/-T/-Y | 4/1/4E6/-1/-7/-3
prosperity	P/R/S/PER/-T | 4/1/7/4E8/-7
pudding	PUD/-NG | 4U5/-2
puddings	PUD/-NG/-SS | 4U5/-2/-1
puddingy	PUD/-NG/-Y | 4U5/-2/-3
puddled	PUD/-L/-D | 4U5/-4/-5
puddle	PUD/-L | 4U5/-4
puddles	PUD/-L/-SS | 4U5/-4/-1
puddly	PUD/-L/-Y | 4U5/-4/-3
puddling	PUD/-L/-NG | 4U5/-4/-2
pudendal	P/DEN/-D/-L | 4/6E6/-5/-4
pudendous	P/DEN/-D/-SS | 4/6E6/-5/-1
pud	PUD | 4U5
puds	PUD/-SS | 4U5/-1
pulled	PUL/-D | 4U4/-5
pulley	PUL/-Y | 4U4/-3
pulls	PUL/-SS | 4U4/-1
pulleys	PUL/-Y/-SS | 4U4/-3/-1
pulling	PUL/-NG | 4U4/-2
pull	PUL | 4U4
pulsar	PUL/-SS/-R | 4U4/-1/-8
pulsars	PUL/-SS/-R/-SS | 4U4/-1/-8/-1
pulsed	PUL/-SS/-D | 4U4/-1/-5
pulses	PUL/-SS/-SS | 4U4/-1/-1
pulsing	PUL/-SS/-NG | 4U4/-1/-2
pundit	PUN/-D/-T | 4U6/-5/-7
punditry	PUN/-D/-T/-R/-Y | 4U6/-5/-7/-8/-3
pundits	PUN/-D/-T/-SS | 4U6/-5/-7/-1
punning	PUN/-NG | 4U6/-2
pun	PUN | 4U6
puns	PUN/-SS | 4U6/-1
punster	PUN/-SS/-T/-R | 4U6/-1/-7/-8
punsters	PUN/-SS/-T/-R/-SS | 4U6/-1/-7/-8/-1
punted	PUN/-T/-D | 4U6/-7/-5
punting	PUN/-T/-NG | 4U6/-7/-2
punt	PUN/-T | 4U6/-7
punts	PUN/-T/-SS | 4U6/-7/-1
purled	PUR/-L/-D | 4U8/-4/-5
purling	PUR/-L/-NG | 4U8/-4/-2
purls	PUR/-L/-SS | 4U8/-4/-1
purl	PUR/-L | 4U8/-4
purport	P/R/POR/-T | 4/1/4O8/-7
purported	P/R/POR/-T/-D | 4/1/4O8/-7/-5
purportedly	P/R/POR/-T/-D/-L/-Y | 4/1/4O8/-7/-5/-4/-3
purporting	P/R/POR/-T/-NG | 4/1/4O8/-7/-2
purports	P/R/POR/-T/-SS | 4/1/4O8/-7/-1
purred	PUR/-D | 4U8/-5
purringly	PUR/-NG/-L/-Y | 4U8/-2/-4/-3
purring	PUR/-NG | 4U8/-2
purr	PUR | 4U8
purrs	PUR/-SS | 4U8/-1
pursed	PUR/-SS/-D | 4U8/-1/-5
purses	PUR/-SS/-SS | 4U8/-1/-1
pursing	PUR/-SS/-NG | 4U8/-1/-2
purslane	PUR/-SS/-L/-N | 4U8/-1/-4/-6
puts	PUT/-SS | 4U7/-1
putted	PUT/-D | 4U7/-5
putties	PUT/-Y/-SS | 4U7/-3/-1
putting	PUT/-NG | 4U7/-2
putt	PUT | 4U7
putty	PUT/-Y | 4U7/-3
rad	RAD | 1A5
rallied	RAL/-D | 1A4/-5
rallied	RAL/-Y/-D | 1A4/-3/-5
rallies	RAL/-Y/-SS | 1A4/-3/-1
rallyingly	RAL/-NG/-L/-Y | 1A4/-2/-4/-3
rallyingly	RAL/-Y/-NG/-L/-Y | 1A4/-3/-2/-4/-3
rallying	RAL/-NG | 1A4/-2
rallying	RAL/-Y/-NG | 1A4/-3/-2
rally	RAL/-Y | 1A4/-3
randily	RAN/-D/-L/-Y | 1A6/-5/-4/-3
rand	RAN/-D | 1A6/-5
randy	RAN/-D/-Y | 1A6/-5/-3
rang	RANG | 1A2
ranted	RAN/-T/-D | 1A6/-7/-5
rantingly	RAN/-T/-NG/-L/-Y | 1A6/-7/-2/-4/-3
rantings	RAN/-T/-NG/-SS | 1A6/-7/-2/-1
ranting	RAN/-T/-NG | 1A6/-7/-2
rants	RAN/-T/-SS | 1A6/-7/-1
rant	RAN/-T | 1A6/-7
ran	RAN | 1A6
rascality	R/S/KAL/-T | 1/7/2A4/-7
ratan	R/TAN | 1/8A6
rat	RAT | 1A7
rats	RAT/-SS | 1A7/-1
rattans	R/TAN/-SS | 1/8A6/-1
ratted	RAT/-D | 1A7/-5
